Held-out Ticker,Observations,Model RMSE,Model R2,Model MAE,Model Directional Accuracy (%),Zero-return RMSE,Zero-return R2
MSFT,282,0.019333557322814676,-0.01120269751113323,0.01287413202260915,48.58156028368794,0.019226180325489076,-1.6147960413270823e-06
NVDA,282,0.02298627559347849,-0.04477841018886419,0.01815815331328914,45.39007092198582,0.022523746068497476,-0.0031554011194490084
GOOG,282,0.019413814089711198,-0.0018521212554369892,0.013901532793046059,52.4822695035461,0.019538673825425082,-0.014780364122473966
META,282,0.02421727888249918,0.0026099282325151574,0.01634152818403279,51.06382978723404,0.024260625193538617,-0.0009637079177544638
AMZN,282,0.021381598474736817,-0.021208624056227254,0.014988434269882646,53.191489361702125,0.021169058997443587,-0.0010072915250751713
TSLA,282,0.029747503339659368,-0.012717631887550818,0.022777749356756853,53.90070921985816,0.02956110883291975,-6.624321912918063e-05
WMT,282,0.015024463291995608,0.00015925593841348284,0.010826852920085835,52.4822695035461,0.015038730927477949,-0.00174059717262387
PG,282,0.012188140384653452,-0.010591823066993022,0.009615406735086133,47.5177304964539,0.01212619221132173,-0.00034494089745185086
JNJ,282,0.011848087106980073,-0.010571946227114548,0.008813945604544382,54.96453900709219,0.01195475222137063,-0.028849662420658007
LLY,282,0.024213934969774784,-0.028196882064828177,0.01696815496331458,50.70921985815603,0.023931904699011457,-0.0043846542563568125
JPM,282,0.013848752960650912,-0.006227513145752983,0.010469930446782566,55.673758865248224,0.013834014583368928,-0.004086920509329461
BRK-B,282,0.009326511787477397,-0.004102510765171097,0.007044984948460585,49.29078014184397,0.009308667397918918,-0.0002638933007808042
CAT,282,0.02375202324735011,-0.013254106607247573,0.017417315592382996,52.4822695035461,0.02376680931698681,-0.014516037763418588
UNP,282,0.013935947091534357,-0.006456671985446194,0.009972775839282045,55.319148936170215,0.013926718786266624,-0.005124173497478068
XOM,282,0.015628095039153866,-0.0003203004021019584,0.012016985365239026,57.09219858156028,0.015695589770701738,-0.008979339782428708
NEE,282,0.014326030138258089,-0.004153833978657984,0.010291783205761159,52.4822695035461,0.014322278745341163,-0.00362801037831173
LIN,282,0.01159305825266565,-0.0007168359913356515,0.008900070537859557,49.29078014184397,0.011589475327863167,-9.837293671632885e-05
AMT,282,0.016248720598383802,-0.002904346313467032,0.012285998188651788,51.41843971631206,0.01624070055470559,-0.0019145635673465389
